Hydrophobicity cutoff,Blob length,Blob hydrophobicity  class,total SNPs,Enrichment,p value,color
0.03,8,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.03,9,h,5,1.96,0.199,"rgb(9.607843137254905, 9.607843137254905, 254.60784313725492)"
0.03,10,h,2,0.0,0.415,"rgb(255.0, 0.0, 0.0)"
0.03,11,h,5,0.0,0.0384,"rgb(255.0, 0.0, 0.0)"
0.03,12,h,2,1.31,0.535,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.03,13,h,4,0.44,0.735,"rgb(250.6078431372549, 107.6078431372549, 107.6078431372549)"
0.03,14,h,7,0.0,0.00831,"rgb(255.0, 0.0, 0.0)"
0.03,15,h,7,1.74,0.301,"rgb(63.411764705882355, 63.411764705882355, 252.41176470588235)"
0.03,16,h,2,1.31,0.535,"rgb(169.09803921568627, 169.09803921568627, 248.09803921568627)"
0.03,17,h,8,0.19,0.0514,"rgb(253.1176470588235, 46.117647058823536, 46.117647058823536)"
0.03,18,h,12,1.83,0.116,"rgb(40.352941176470594, 40.352941176470594, 253.3529411764706)"
0.03,19,h,4,3.92,0.0427,"rgb(0.0, 0.0, 255.0)"
0.03,20,h,14,0.36,0.0573,"rgb(251.3921568627451, 88.3921568627451, 88.3921568627451)"
0.03,21,h,5,0.0,0.0384,"rgb(255.0, 0.0, 0.0)"
0.03,22,h,8,0.0,0.00389,"rgb(255.0, 0.0, 0.0)"
0.03,23,h,7,0.98,1.0,"rgb(245.19607843137257, 240.19607843137254, 240.19607843137254)"
0.03,24,h,8,0.78,1.0,"rgb(247.23529411764704, 190.23529411764704, 190.23529411764704)"
